TC_C_2_Min degC Minimum,TC_C_2_Avg degC Average_flags
1970-01-01 00:00:00.000000017,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000020,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000019,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000018,OK
1970-01-01 00:00:00.000000017,OK
1970-01-01 00:00:00.000000017,OK
1970-01-01 00:00:00.000000017,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,Extreme Peak Detection
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000016,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000007,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,Extreme Peak Detection
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000015,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000014,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000013,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000012,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000011,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000010,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000009,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000008,OK
1970-01-01 00:00:00.000000007,OK
1970-01-01 00:00:00.000000007,OK
1970-01-01 00:00:00.000000007,OK
1970-01-01 00:00:00.000000006,OK
